owning_agency_name,reporting_agency_name,submission_period,allocation_transfer_agency_identifier_code,agency_identifier_code,beginning_period_of_availability,ending_period_of_availability,availability_type_code,main_account_code,sub_account_code,treasury_account_symbol,treasury_account_name,agency_identifier_name,allocation_transfer_agency_identifier_name,budget_function,budget_subfunction,federal_account_symbol,federal_account_name,program_activity_code,program_activity_name,object_class_code,object_class_name,direct_or_reimbursable_funding_source,disaster_emergency_fund_code,disaster_emergency_fund_name,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,gross_outlay_amount,last_modified_date
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0140,000,075-X-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,12.2,Military personnel benefits,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",1431.13,0.00,1431.13,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0140,000,075-X-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,31.0,Equipment,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",58503.45,0.00,38615.08,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0140,000,075-X-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,25.3,Other goods and services from Federal sources,D,P,Paycheck Protection Program and Health Care Enhancement Act,838696380.25,-92000000.00,109193220.96,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0140,000,075-X-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,11.7,Military personnel,D,P,Paycheck Protection Program and Health Care Enhancement Act,443973.93,0.00,512423.61,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0140,000,075-X-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,11.8,Special personal services payments,D,P,Paycheck Protection Program and Health Care Enhancement Act,802.40,0.00,802.40,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0140,000,075-X-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,12.1,Civilian personnel benefits,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",397879.98,-9197.34,335590.74,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0140,000,075-X-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,12.1,Civilian personnel benefits,D,M,Families First Coronavirus Response Act,46405.83,-220.89,48061.57,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0140,000,075-X-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,11.1,Full-time permanent,D,M,Families First Coronavirus Response Act,152286.57,-3559.25,153516.76,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0140,000,075-X-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,25.1,Advisory and assistance services,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",1247853422.37,0.00,53079349.81,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0140,000,075-X-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,26.0,Supplies and materials,D,P,Paycheck Protection Program and Health Care Enhancement Act,49315841.09,-812850.00,156744676.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0140,000,075-X-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,25.6,Medical care,D,P,Paycheck Protection Program and Health Care Enhancement Act,4030071.69,0.00,817453.80,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0391,000,075-X-0391-000,"Indian Health Facilities, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0391,"Indian Health Facilities, Indian Health Service, Health and Human Services",0002,SANITATION FACILITIES CONSTRUCTION,25.8,Subsistence and support of persons,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",0.00,0.00,0.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0391,000,075-X-0391-000,"Indian Health Facilities, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0391,"Indian Health Facilities, Indian Health Service, Health and Human Services",0002,SANITATION FACILITIES CONSTRUCTION,25.6,Medical care,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",23729.42,0.00,11912.71,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0391,000,075-X-0391-000,"Indian Health Facilities, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0391,"Indian Health Facilities, Indian Health Service, Health and Human Services",0002,SANITATION FACILITIES CONSTRUCTION,23.3,"Communications, utilities, and miscellaneous charges",D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",32969.16,0.00,23182.95,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0391,000,075-X-0391-000,"Indian Health Facilities, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0391,"Indian Health Facilities, Indian Health Service, Health and Human Services",0002,SANITATION FACILITIES CONSTRUCTION,31.0,Equipment,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",272261.87,0.00,128516.55,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0391,000,075-X-0391-000,"Indian Health Facilities, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0391,"Indian Health Facilities, Indian Health Service, Health and Human Services",0001,MAINTENANCE,26.0,Supplies and materials,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",6073.96,0.00,76704.04,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0391,000,075-X-0391-000,"Indian Health Facilities, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0391,"Indian Health Facilities, Indian Health Service, Health and Human Services",0002,SANITATION FACILITIES CONSTRUCTION,25.1,Advisory and assistance services,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",4885.71,0.00,0.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0391,000,075-X-0391-000,"Indian Health Facilities, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0391,"Indian Health Facilities, Indian Health Service, Health and Human Services",0004,EQUIPMENT,25.4,Operation and maintenance of facilities,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",35455.42,0.00,0.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0391,000,075-X-0391-000,"Indian Health Facilities, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0391,"Indian Health Facilities, Indian Health Service, Health and Human Services",0001,MAINTENANCE,25.2,Other services from non-Federal sources,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",400332.72,0.00,550414.23,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0391,000,075-X-0391-000,"Indian Health Facilities, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0391,"Indian Health Facilities, Indian Health Service, Health and Human Services",0001,MAINTENANCE,41.0,"Grants, subsidies, and contributions",D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",-57029.68,0.00,1205.36,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0391,000,075-X-0391-000,"Indian Health Facilities, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0391,"Indian Health Facilities, Indian Health Service, Health and Human Services",0002,SANITATION FACILITIES CONSTRUCTION,22.0,Transportation of things,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",7777.82,0.00,2150.91,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0391,000,075-X-0391-000,"Indian Health Facilities, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0391,"Indian Health Facilities, Indian Health Service, Health and Human Services",0004,EQUIPMENT,31.0,Equipment,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",1537457.61,-74964.13,1590106.82,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0391,000,075-X-0391-000,"Indian Health Facilities, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0391,"Indian Health Facilities, Indian Health Service, Health and Human Services",0004,EQUIPMENT,26.0,Supplies and materials,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",258395.87,-195.64,130892.56,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0391,000,075-X-0391-000,"Indian Health Facilities, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0391,"Indian Health Facilities, Indian Health Service, Health and Human Services",0002,SANITATION FACILITIES CONSTRUCTION,25.7,Operation and maintenance of equipment,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",0.00,0.00,0.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0391,000,075-X-0391-000,"Indian Health Facilities, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0391,"Indian Health Facilities, Indian Health Service, Health and Human Services",0002,SANITATION FACILITIES CONSTRUCTION,25.3,Other goods and services from Federal sources,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",162.55,0.00,162.55,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0391,000,075-X-0391-000,"Indian Health Facilities, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0391,"Indian Health Facilities, Indian Health Service, Health and Human Services",0002,SANITATION FACILITIES CONSTRUCTION,26.0,Supplies and materials,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",145151.73,0.00,173880.74,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0391,000,075-X-0391-000,"Indian Health Facilities, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0391,"Indian Health Facilities, Indian Health Service, Health and Human Services",0002,SANITATION FACILITIES CONSTRUCTION,32.0,Land and structures,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",2830.00,0.00,2830.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0128,000,075-X-0128-000,"Office of the Inspector General, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0128,"Office of the Inspector General, Office of the Secretary, Health and Human Services",0001,OFFICE OF INSPECTOR GENERAL (DIRECT),23.3,"Communications, utilities, and miscellaneous charges",D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",0.00,0.00,0.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0128,000,075-X-0128-000,"Office of the Inspector General, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0128,"Office of the Inspector General, Office of the Secretary, Health and Human Services",0001,OFFICE OF INSPECTOR GENERAL (DIRECT),25.2,Other services from non-Federal sources,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",2934.50,-3002.00,2934.50,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0128,000,075-X-0128-000,"Office of the Inspector General, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0128,"Office of the Inspector General, Office of the Secretary, Health and Human Services",0001,OFFICE OF INSPECTOR GENERAL (DIRECT),12.1,Civilian personnel benefits,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",3940.54,0.00,2447.08,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0128,000,075-X-0128-000,"Office of the Inspector General, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0128,"Office of the Inspector General, Office of the Secretary, Health and Human Services",0001,OFFICE OF INSPECTOR GENERAL (DIRECT),31.0,Equipment,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",0.00,0.00,26000.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0128,000,075-X-0128-000,"Office of the Inspector General, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0128,"Office of the Inspector General, Office of the Secretary, Health and Human Services",0001,OFFICE OF INSPECTOR GENERAL (DIRECT),11.3,Other than full-time permanent,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",66761.85,-3140.66,72006.75,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0128,000,075-X-0128-000,"Office of the Inspector General, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0128,"Office of the Inspector General, Office of the Secretary, Health and Human Services",0001,OFFICE OF INSPECTOR GENERAL (DIRECT),23.3,"Communications, utilities, and miscellaneous charges",D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",0.00,0.00,0.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0128,000,075-X-0128-000,"Office of the Inspector General, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0128,"Office of the Inspector General, Office of the Secretary, Health and Human Services",0001,OFFICE OF INSPECTOR GENERAL (DIRECT),11.3,Other than full-time permanent,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",28694.44,0.00,19979.56,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0128,000,075-X-0128-000,"Office of the Inspector General, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0128,"Office of the Inspector General, Office of the Secretary, Health and Human Services",0001,OFFICE OF INSPECTOR GENERAL (DIRECT),26.0,Supplies and materials,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",1114.34,-2027.00,1014.94,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0128,000,075-X-0128-000,"Office of the Inspector General, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0128,"Office of the Inspector General, Office of the Secretary, Health and Human Services",0001,OFFICE OF INSPECTOR GENERAL (DIRECT),11.1,Full-time permanent,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",220331.49,-7526.69,279254.56,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0128,000,075-X-0128-000,"Office of the Inspector General, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0128,"Office of the Inspector General, Office of the Secretary, Health and Human Services",0001,OFFICE OF INSPECTOR GENERAL (DIRECT),12.1,Civilian personnel benefits,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",88384.64,-49.32,114877.20,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0140,000,075-X-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,25.1,Advisory and assistance services,D,P,Paycheck Protection Program and Health Care Enhancement Act,455996145.11,-33410409.40,307434517.23,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0140,000,075-X-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,41.0,"Grants, subsidies, and contributions",D,P,Paycheck Protection Program and Health Care Enhancement Act,36145787.68,-247254.00,860595205.63,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0140,000,075-X-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,11.7,Military personnel,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",49897.62,0.00,49897.62,2021-01-28
